captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.39970.first,candidates.39970.last,candidates.39970.party,candidates.39970.candidateID,candidates.39970.polID,candidates.39970.ballotOrder,candidates.39970.polNum,candidates.39970.electWon,candidates.39971.first,candidates.39971.last,candidates.39971.party,candidates.39971.candidateID,candidates.39971.polID,candidates.39971.ballotOrder,candidates.39971.polNum,candidates.39971.electWon,candidates.40005.first,candidates.40005.last,candidates.40005.party,candidates.40005.candidateID,candidates.40005.polID,candidates.40005.ballotOrder,candidates.40005.polNum,candidates.40005.electWon,candidates.40006.first,candidates.40006.last,candidates.40006.party,candidates.40006.candidateID,candidates.40006.polID,candidates.40006.ballotOrder,candidates.40006.polNum,candidates.40006.electWon,candidates.40007.first,candidates.40007.last,candidates.40007.party,candidates.40007.candidateID,candidates.40007.polID,candidates.40007.ballotOrder,candidates.40007.polNum,candidates.40007.electWon,candidates.40008.first,candidates.40008.last,candidates.40008.abbrv,candidates.40008.party,candidates.40008.candidateID,candidates.40008.polID,candidates.40008.ballotOrder,candidates.40008.polNum,candidates.40008.electWon,candidates.40009.first,candidates.40009.last,candidates.40009.party,candidates.40009.candidateID,candidates.40009.polID,candidates.40009.ballotOrder,candidates.40009.polNum,candidates.40009.electWon,candidates.39971.winnerDateTime,isCertified
1668018425,2022-11-09 12:27:05 -0600,7c3190d5624213e8f00b546a91dcc2673310cec6,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,100429,95,95407,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1668026396,2022-11-09 14:39:56 -0600,ed4d178a0d6d41412cc7c709d1ece08d5c923346,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,100429,95,99282,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1668092478,2022-11-10 09:01:18 -0600,54b36b7b496f3569c355c13c8d9029ac64a7047b,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,100429,95,99617,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1668116437,2022-11-10 15:40:37 -0600,3a0a93b9d42da41c5b165d73e5440b82b8114410,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,100429,95,100263,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1668195997,2022-11-11 13:46:37 -0600,a7b1ea0e2b7c75c27ab408081416b9622ffb3ef4,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,100429,95,100693,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1668196833,2022-11-11 14:00:33 -0600,18a672d83e3675b864da25faa3c397184930a196,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,105885,95,100693,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1668549012,2022-11-15 15:50:12 -0600,57590cda323660237c9479736b6afba01efd3b62,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,105885,95,101099,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1668618295,2022-11-16 11:04:55 -0600,e486287701e3849f3f2220d15d1d904d560d36ae,NJ-20221108_Eday80,31,General,G,Tabulation Paused,Called,H,U.S. House,True,District 8,8,106312,95,101099,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1669059304,2022-11-21 13:35:04 -0600,f8d5e7faf5d5aed8cf44882029006befddc9283b,NJ-20221108_Eday80,31,General,G,Tabulation Paused,Called,H,U.S. House,True,District 8,8,106312,95,101260,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1669066182,2022-11-21 15:29:42 -0600,cfcd2e3d31be9f62a1930bf5b26ced4f96385acb,NJ-20221108_Eday80,31,General,G,Tabulation Paused,Called,H,U.S. House,True,District 8,8,105869,95,101260,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,
1669669547,2022-11-28 15:05:47 -0600,6d5573eed0e6d25dc8f3a8cff060b086494ce528,NJ-20221108_Eday80,31,General,G,Tabulation Paused,Called,H,U.S. House,True,District 8,8,106567,95,106460,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,False
1670355658,2022-12-06 13:40:58 -0600,b3674829b4ac3c4f2fbf4af3b235fd590cb3f6f0,NJ-20221108_Eday80,31,General,G,Tabulation Paused,Called,H,U.S. House,True,District 8,8,106473,100,106460,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,2022-11-09T02:24:54.770Z,False
