captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.11186.last,candidates.11186.party,candidates.11186.candidateID,candidates.11186.ballotOrder,candidates.11186.polID,candidates.11186.polNum,candidates.11186.electWon,candidates.11187.last,candidates.11187.party,candidates.11187.candidateID,candidates.11187.ballotOrder,candidates.11187.polID,candidates.11187.polNum,candidates.11187.electWon,raceCallStatus,candidates.11186.winnerDateTime,isCertified
1667975692,2022-11-09 00:34:52 -0600,da1c62563fe966a79ac256315975a76cf151abd0,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2254133,99,1995881,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667983307,2022-11-09 02:41:47 -0600,10b135d24ef33cdc6e9f28343867411c438e4192,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2254133,99,2001773,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667983347,2022-11-09 02:42:27 -0600,c5a428b0b947d69a146599b797260f88d1305fd6,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2254133,99,1995881,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667983595,2022-11-09 02:46:35 -0600,2dd0aebbae72cb28f364a323cce9d6d3c29ae669,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2254133,99,2001773,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667983677,2022-11-09 02:47:57 -0600,9b7838a280f19cbb6fbc0c7b4c210c0b0c878b69,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2254133,99,1995881,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667983881,2022-11-09 02:51:21 -0600,fb0bb63c0a2351355e92809d5d7b41d52a28918d,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2254133,99,2001773,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667983963,2022-11-09 02:52:43 -0600,f1299e7b87e7b24a37e8c19b46028623185c8975,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2254133,99,1995881,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667984001,2022-11-09 02:53:21 -0600,d14f5cebb28263c141bc6d601a0bf4c8ab7de3aa,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2254133,99,2001773,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667984041,2022-11-09 02:54:01 -0600,ee9283493546aa4a6a95b649cf7bb242fe63b0e6,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2254133,99,1995881,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1667984080,2022-11-09 02:54:40 -0600,64f6a7ce21c05e56c49189b02387a15c5c842df8,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2254133,99,2001773,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1668035305,2022-11-09 17:08:25 -0600,c28ce79fa17f5db120bec105555718ed650f4d22,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2021993,99,2001773,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1668114915,2022-11-10 15:15:15 -0600,a4ab222934c088d0e04d8337128522a5db87d9f5,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2021993,99,2001785,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,Called,2022-11-09T04:42:32.124Z,
1670619630,2022-12-09 15:00:30 -0600,3c52bd521e6ebea162b26d11f222ddcfc587d382,MO-20221108_Eday80,26,Ballot Issue,G,Gathering Certified Results,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2009609,100,2001785,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,,No,No,11187,2,3,28837,,Called,2022-11-09T04:42:32.124Z,False
