captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.18786.first,candidates.18786.last,candidates.18786.party,candidates.18786.incumbent,candidates.18786.candidateID,candidates.18786.polID,candidates.18786.ballotOrder,candidates.18786.polNum,candidates.18786.electWon,candidates.23305.first,candidates.23305.last,candidates.23305.party,candidates.23305.candidateID,candidates.23305.polID,candidates.23305.ballotOrder,candidates.23305.polNum,candidates.23305.electWon,candidates.18786.winnerDateTime
1667985683,2022-11-09 03:21:23 -0600,8d6490b73382f2ed58c3fbdb846897b79d79f217,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,193319,99,185765,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1667986550,2022-11-09 03:35:50 -0600,19ab2663806721e2a09cf86982ae22188241e675,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,187835,99,185765,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1668015317,2022-11-09 11:35:17 -0600,3b3a94a823fdcdf9f0f559c768f2970ef63e9699,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,188437,99,185765,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1668016156,2022-11-09 11:49:16 -0600,df90fd071d0cae61605a6bab213b6563dacd8fa7,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,188031,99,185765,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1668033305,2022-11-09 16:35:05 -0600,938ff66c343f88bf29efd28fd22a5de9bc4c4fc1,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,187642,99,185765,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1668044147,2022-11-09 19:35:47 -0600,f4b2930f484ea721eba7cf1d0e4dd26718eb8dcd,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,187642,99,185785,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1668116770,2022-11-10 15:46:10 -0600,6b07db55083aa9a94066a297e2f169fa12458a27,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 24,24,187642,99,185785,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1668116853,2022-11-10 15:47:33 -0600,9217c3d4e3f71443b7d4adb3faaa424f0728720d,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,187642,99,185785,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1668116940,2022-11-10 15:49:00 -0600,5300ec89b77518124e5bd2f4a6ae7e25ad8d5a4e,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 24,24,187642,99,185785,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1668117022,2022-11-10 15:50:22 -0600,4e7a3bfec1b36bf4653ed2354280e2ef90b2ae61,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,187642,99,185785,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1668117109,2022-11-10 15:51:49 -0600,b64c0b212ab85f207664ae0026d3c4b4d414b0de,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 24,24,187642,99,185785,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
