captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.43358.first,candidates.43358.last,candidates.43358.abbrv,candidates.43358.incumbent,candidates.43358.party,candidates.43358.candidateID,candidates.43358.ballotOrder,candidates.43358.polID,candidates.43358.polNum,candidates.43358.electWon,candidates.49950.first,candidates.49950.last,candidates.49950.party,candidates.49950.candidateID,candidates.49950.ballotOrder,candidates.49950.polID,candidates.49950.polNum,candidates.49950.electWon,candidates.43358.winnerDateTime,isCertified
1667971350,2022-11-08 23:22:30 -0600,4e8d6a153dbb49007925da1747ddadcd1394934d,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,309061,99,171470,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667972264,2022-11-08 23:37:44 -0600,32512d68a8869811d6b4c587f4ea396147ae27a4,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,309524,99,173471,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667973115,2022-11-08 23:51:55 -0600,76528750fef7c265d19f91ec30e86804e3da6e06,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,309607,99,184967,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667973878,2022-11-09 00:04:38 -0600,dd0a2fb7e0a1ea86d312428fcf4c7c68541cc7da,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,308942,99,197802,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667973921,2022-11-09 00:05:21 -0600,8c7bea4e5501d62c6edf8b543f4ffeaf66fbee7c,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,309607,99,184967,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667973964,2022-11-09 00:06:04 -0600,9272ebff43a029380ebf987d0a9fa080674e7e91,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,308942,99,197802,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,NH-20221108_Eday80,30,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,309019,99,200171,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,2022-11-09T06:09:54.770Z,
1667975319,2022-11-09 00:28:39 -0600,7d24d010dbc95f183b9e815a9f6c12b55b48ad99,NH-20221108_Eday80,30,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,311136,99,203080,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,2022-11-09T06:09:54.770Z,
1667975402,2022-11-09 00:30:02 -0600,1cb740bfe02888499fbb239b5454758b24512913,NH-20221108_Eday80,30,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,311136,99,209931,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,2022-11-09T06:09:54.770Z,
1667975526,2022-11-09 00:32:06 -0600,5374366d2c6a2b7e8af014c09c7cd85c5fd86ee7,NH-20221108_Eday80,30,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,311136,99,203080,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,2022-11-09T06:09:54.770Z,
