captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22952.first,candidates.22952.last,candidates.22952.abbrv,candidates.22952.party,candidates.22952.candidateID,candidates.22952.polID,candidates.22952.ballotOrder,candidates.22952.polNum,candidates.22952.electWon,candidates.22953.first,candidates.22953.last,candidates.22953.party,candidates.22953.incumbent,candidates.22953.candidateID,candidates.22953.polID,candidates.22953.ballotOrder,candidates.22953.polNum,candidates.22953.electWon,candidates.22953.winnerDateTime,isCertified
1668134269,2022-11-10 20:37:49 -0600,50bdd0df2696d3fe09d799ec19397958d9b3aa80,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,147216,99,76034,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668135129,2022-11-10 20:52:09 -0600,63fb71cdc1a79107366e1b6cc04255b8fdcfa0df,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,144426,99,76034,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668135172,2022-11-10 20:52:52 -0600,98824253962d34a252ad57080e514f9c5da7b8a3,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,147216,99,76034,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668135216,2022-11-10 20:53:36 -0600,f6f9517905a8696c2e3ae5837e4ecc24f7b0f28e,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,144426,99,76034,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668135935,2022-11-10 21:05:35 -0600,d356ce2ee45761348938f97e3e2d4fd52f4f53ec,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,145247,99,76034,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668137588,2022-11-10 21:33:08 -0600,d2daf93e82f35f030b59fb00d4a578f756583ade,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,145247,99,80209,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668221206,2022-11-11 20:46:46 -0600,180b45104bef2439be8396611d13c6732952b459,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,144060,99,80209,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668221247,2022-11-11 20:47:27 -0600,249a58e49a280c8d5c8ffafa96c009bd686cad5d,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,145247,99,80209,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668221617,2022-11-11 20:53:37 -0600,f14085347bfca98b8a6bb9d81fe805fc531ac295,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,144060,99,80209,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668224033,2022-11-11 21:33:53 -0600,6d16d67394293cb018b94df1cfac83c8b92b526c,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,144060,99,89260,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668259521,2022-11-12 07:25:21 -0600,57997172f58d9823786a0bcd3bf915cbb514ba4a,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,144060,99,95294,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668259562,2022-11-12 07:26:02 -0600,4ed4ed4f551b2b6379699bd4aae0848f030401a4,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,144060,99,89260,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668260204,2022-11-12 07:36:44 -0600,034b61965ec11bc6fed69db6d21da23260af4f1a,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,144060,99,95294,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668260243,2022-11-12 07:37:23 -0600,51a9c1fc35afef5090bef405ecfbbe7e632d9eed,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,144060,99,89260,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668260284,2022-11-12 07:38:04 -0600,1daad5a4335f9a53365f35f4ca5ddcb932c30856,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,144060,99,95294,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668310476,2022-11-12 21:34:36 -0600,c095d9ad59ac2a5d0f71060e8bdd1ff4e6e56b07,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,144060,99,99902,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668389690,2022-11-13 19:34:50 -0600,9dd2b64c369ead8585bd42491fce41a5be2e3a97,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,144060,99,104896,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668483066,2022-11-14 21:31:06 -0600,6c5f60f718b8e4391f7c5c4f2b407fcd8bc0190d,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,144060,99,113451,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668567063,2022-11-15 20:51:03 -0600,5f79d32ff680d0738a52a4cad264fd0a27c79c91,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,157293,99,113451,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668567764,2022-11-15 21:02:44 -0600,36c771e592d2cb6508d6719506b07fc3fb99bc87,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,158712,99,113948,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668569954,2022-11-15 21:39:14 -0600,724eab3f5b1b8151f14c4ef0a547b2331275712c,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,158712,99,120364,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668634374,2022-11-16 15:32:54 -0600,46590f1df8baffe26a2240114a4aa728865b7229,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,158712,99,127818,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668647481,2022-11-16 19:11:21 -0600,59df92c89e2827463e7745160c539323fb6ae16f,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,158712,99,141664,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668649221,2022-11-16 19:40:21 -0600,172481d5106f82e69ac86b83480d7a7917f10b6a,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,159052,99,141664,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668655939,2022-11-16 21:32:19 -0600,b519afdaeaf14f29cba215becfce25e92c1cedcf,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,159522,99,143211,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668691747,2022-11-17 07:29:07 -0600,a328f8264334b9bb750ab9b1420e726054d192d6,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,159625,99,144398,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668733575,2022-11-17 19:06:15 -0600,24d89c3cc295fe24453369d7585eeccad2c9af46,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,159625,99,144883,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668817907,2022-11-18 18:31:47 -0600,d658deb1d4e9baa80a69aa6f2127dd5db924c878,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,159882,99,148253,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668820344,2022-11-18 19:12:24 -0600,5263b4c935a884de085a0ba2de9ff22751912749,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,159882,99,148503,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668823789,2022-11-18 20:09:49 -0600,819a066cace35bc30ccb15ac94d25ac02825c093,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,158288,99,148503,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668901881,2022-11-19 17:51:21 -0600,e18ed9de59609799e1c311d380f9141867999a92,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,158288,99,150097,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1668950098,2022-11-20 07:14:58 -0600,4862f357a30fff565eaee9a7e445f2aeb047a74e,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,155770,99,150097,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1669082157,2022-11-21 19:55:57 -0600,32e2ed2bbebe8894d025894c5ba0aef0ca906730,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,155770,99,150902,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1669087963,2022-11-21 21:32:43 -0600,2348d22a1f857773fe65efe9b3c1e9e767b2220b,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,155770,99,150960,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1669163560,2022-11-22 18:32:40 -0600,56c395a8f41a3cb2100f04d329f09beb28ecf316,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,155770,99,151021,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,False
1669165018,2022-11-22 18:56:58 -0600,c15463704fb843fa00afc812000bda602d7ec61d,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,155770,99,151067,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,False
1669167940,2022-11-22 19:45:40 -0600,4187dfe4a25fe960bd49974ce802f332b1854194,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,156023,99,151067,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,False
1669239095,2022-11-23 15:31:35 -0600,1ddc1d641be39e95d4068f5e27ba091abd64b958,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,156023,99,151070,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,False
1669249997,2022-11-23 18:33:17 -0600,fa4043ea852f7c8d1d918a8052ee025208fcda9a,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,156023,99,151104,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,False
1669252073,2022-11-23 19:07:53 -0600,77b0af1cb192c6318588df6c6cf4c34a4a629dff,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,156023,99,151126,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,False
1669646271,2022-11-28 08:37:51 -0600,c994ec8ed5b63c234e08da025c647092e559d2c2,CA-20221108_Eday80,5,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 18,18,156023,99,151317,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,False
1669694668,2022-11-28 22:04:28 -0600,2dae202dd2dff621e2bce6df5e933aa109923e7f,CA-20221108_Eday80,5,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 18,18,153234,99,151317,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,False
