captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22968.first,candidates.22968.last,candidates.22968.abbrv,candidates.22968.party,candidates.22968.incumbent,candidates.22968.candidateID,candidates.22968.polID,candidates.22968.ballotOrder,candidates.22968.polNum,candidates.22968.electWon,candidates.22970.first,candidates.22970.last,candidates.22970.party,candidates.22970.candidateID,candidates.22970.polID,candidates.22970.ballotOrder,candidates.22970.polNum,candidates.22970.electWon,candidates.22968.winnerDateTime,isCertified
1668731501,2022-11-17 18:31:41 -0600,1a88972ac00b8575a2d9b7002fbeb1c90cee4708,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,188379,99,153949,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668732507,2022-11-17 18:48:27 -0600,38fc9706b1f1e6cb3013a52a1ba37b00da168a72,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,176140,99,153949,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668734867,2022-11-17 19:27:47 -0600,ed7dbe8a365f14eb4917aadad9594e2334fd23bf,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,174319,99,153949,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668816447,2022-11-18 18:07:27 -0600,ef8ea0384923313afb8d6a8dd0cb0805b3307b24,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,174319,99,154145,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668817907,2022-11-18 18:31:47 -0600,d658deb1d4e9baa80a69aa6f2127dd5db924c878,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,174319,99,162164,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668821642,2022-11-18 19:34:02 -0600,a88788321c95359f3bab9b01e6ceb33e5f4a2955,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,174271,99,162164,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668828766,2022-11-18 21:32:46 -0600,a250e34f814bdb11f83e005c5526791d51bba437,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,174271,99,162626,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668904420,2022-11-19 18:33:40 -0600,83a9ca15e9878590c6265bbea8ecd734f34ac037,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,174271,99,163643,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668950098,2022-11-20 07:14:58 -0600,4862f357a30fff565eaee9a7e445f2aeb047a74e,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,168116,99,163643,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1669037502,2022-11-21 07:31:42 -0600,bbb5c2fcd0d82e7cd512091451b091f50a37ba1c,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,168116,99,163760,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1669040401,2022-11-21 08:20:01 -0600,ddf39b639a605b2a3cdc5c43e552ac009ad204d9,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,168024,99,163760,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1669079907,2022-11-21 19:18:27 -0600,3b4fdfb3f1f2158fc15b004c2ec1907f0c9fae0e,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,167102,99,163760,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1669082157,2022-11-21 19:55:57 -0600,32e2ed2bbebe8894d025894c5ba0aef0ca906730,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,167102,99,164177,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1669087963,2022-11-21 21:32:43 -0600,2348d22a1f857773fe65efe9b3c1e9e767b2220b,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,167102,99,164960,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1669090985,2022-11-21 22:23:05 -0600,96ce6c01c4224214ff6645cded84c5bf84c4eef1,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,167901,99,164960,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1669163560,2022-11-22 18:32:40 -0600,56c395a8f41a3cb2100f04d329f09beb28ecf316,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,167901,99,165721,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,False
