captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.12151.first,candidates.12151.last,candidates.12151.incumbent,candidates.12151.party,candidates.12151.candidateID,candidates.12151.ballotOrder,candidates.12151.polID,candidates.12151.polNum,candidates.12151.electWon,candidates.13889.first,candidates.13889.last,candidates.13889.party,candidates.13889.candidateID,candidates.13889.ballotOrder,candidates.13889.polID,candidates.13889.polNum,candidates.13889.electWon,candidates.14103.first,candidates.14103.last,candidates.14103.party,candidates.14103.candidateID,candidates.14103.ballotOrder,candidates.14103.polID,candidates.14103.polNum,candidates.14103.electWon,candidates.14104.first,candidates.14104.last,candidates.14104.party,candidates.14104.candidateID,candidates.14104.ballotOrder,candidates.14104.polID,candidates.14104.polNum,candidates.14104.electWon,candidates.12151.winnerDateTime
1668054417,2022-11-09 22:26:57 -0600,2a3780280d8164da5463bb6483536c527ae70069,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,273024,99,217225,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668054583,2022-11-09 22:29:43 -0600,bf19567a87e2f395e70a86ceb498e2f18f516fba,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,273024,99,228523,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668108384,2022-11-10 13:26:24 -0600,7fd83be1226dba4dde75c16d58442702402a05b0,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282127,99,228523,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668113574,2022-11-10 14:52:54 -0600,5dfd9cc188e6ef3c996faaff943125eeeda856b6,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282127,99,238979,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668130788,2022-11-10 19:39:48 -0600,a202e8e88f30436d1903b62d09c51eda366d031e,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282127,99,246126,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668130830,2022-11-10 19:40:30 -0600,4a41f009b64f1b38ba1a5b4be3182931ce380762,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282127,99,238979,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668130873,2022-11-10 19:41:13 -0600,a25a1d194736cca4fe375a78de7e5ff8f37f9308,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282127,99,246126,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668207911,2022-11-11 17:05:11 -0600,082e666e87796fa29c29b535031c8ec15fd1740e,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282127,99,260047,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668216814,2022-11-11 19:33:34 -0600,1b7a99be87f749ad9af95f57571352986e443a80,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282127,99,276511,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668216896,2022-11-11 19:34:56 -0600,33f02eaf998ba2cc2cf8ed6b570b31bd2a43ded1,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282127,99,260047,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668216978,2022-11-11 19:36:18 -0600,d4c0a1b84bbd7507036ff43609c76e716305b26a,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282127,99,276511,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668217018,2022-11-11 19:36:58 -0600,16a89c7fe118ee552590d8a60c8ee7f7b02b650b,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282127,99,260047,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668217059,2022-11-11 19:37:39 -0600,7a7589fc5ddbcba4e78400e8064276177f95ebd7,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282127,99,276511,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668217141,2022-11-11 19:39:01 -0600,2f64a688506d17d3f8e0595b1cafaa2bfbb9fac1,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282127,99,260047,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668217181,2022-11-11 19:39:41 -0600,6bde196977c4a99527d91d16c9c0995b2c6c43df,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282127,99,276511,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668217223,2022-11-11 19:40:23 -0600,1f7bcdffacf369b8e94f24148e80f241b74fc8d6,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282127,99,260047,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668217265,2022-11-11 19:41:05 -0600,936f0556d7a764268a8e27ab5ffa02d7d7786300,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282127,99,276511,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668218411,2022-11-11 20:00:11 -0600,13ba46b51b0e4df2abfd06950885b7579bbe9356,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,282154,99,276511,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1668736353,2022-11-17 19:52:33 -0600,c88280c72a03e45458c0daa8b502db413577d77e,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,279304,99,276511,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
