captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID.0,incumbentID.1,candidates.20658.first,candidates.20658.last,candidates.20658.incumbent,candidates.20658.party,candidates.20658.candidateID,candidates.20658.ballotOrder,candidates.20658.polID,candidates.20658.polNum,candidates.20658.electWon,candidates.23188.first,candidates.23188.last,candidates.23188.incumbent,candidates.23188.party,candidates.23188.candidateID,candidates.23188.ballotOrder,candidates.23188.polID,candidates.23188.polNum,candidates.23188.electWon,candidates.20658.winnerDateTime
1668096523,2022-11-10 10:08:43 -0600,7e0594b6647da0c54ef493fd93bcfea2ba48f1ff,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,303753,99,300721,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1668096855,2022-11-10 10:14:15 -0600,a11ecf66559bdd482152580cad1b8c862088b0e2,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 2,2,303758,99,300721,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1668128050,2022-11-10 18:54:10 -0600,992b136954b5548f6d42c0ae04f18e8c36131c99,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,303758,99,300721,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1668175114,2022-11-11 07:58:34 -0600,b15b3c25c8e401c7bde25a9279f1383577c361b1,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,303758,99,301146,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1668181984,2022-11-11 09:53:04 -0600,d3372b76d8f336fd9af4fceef63ed3a0ab0d7606,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,304078,99,301146,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1668186109,2022-11-11 11:01:49 -0600,d6e8c24b5af38a47d8ff02eb3e35d2b555b73a5e,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,304078,99,301154,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1668369549,2022-11-13 13:59:09 -0600,6b9e505b44f0244500640e62a1a6ec860e2f0008,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 2,2,304078,99,301154,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1668443672,2022-11-14 10:34:32 -0600,8840fe007c2289cb5d0b39065214027ed33ca9ed,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 2,2,304078,99,301278,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1668447262,2022-11-14 11:34:22 -0600,fab64ca06178d82c9b967f285b83020c64a45dbc,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 2,2,304078,99,301319,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1668448536,2022-11-14 11:55:36 -0600,dc448ab98ced0e5e7522e81c67824f88e8df3d21,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 2,2,304078,99,301340,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1668622062,2022-11-16 12:07:42 -0600,688bb2eb3db0a0655f0d37ebb6b2b9d710a8641a,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 2,2,304078,99,301338,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1669048638,2022-11-21 10:37:18 -0600,4a833f55035bdf60244896e2416e3ddba7b39cd2,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 2,2,301382,100,301338,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1669053169,2022-11-21 11:52:49 -0600,d9cf61fb36d59e3250da46689dac29e8ed44b594,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 2,2,301389,100,301338,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
