captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22751.first,candidates.22751.last,candidates.22751.abbrv,candidates.22751.party,candidates.22751.candidateID,candidates.22751.ballotOrder,candidates.22751.polID,candidates.22751.polNum,candidates.22751.electWon,candidates.22752.first,candidates.22752.last,candidates.22752.incumbent,candidates.22752.party,candidates.22752.candidateID,candidates.22752.ballotOrder,candidates.22752.polID,candidates.22752.polNum,candidates.22752.electWon,candidates.22753.first,candidates.22753.last,candidates.22753.party,candidates.22753.candidateID,candidates.22753.ballotOrder,candidates.22753.polID,candidates.22753.polNum,candidates.22753.electWon,candidates.22752.winnerDateTime
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,1147786,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,1240298,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,1271280,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,1283586,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,1447292,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,1555849,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,1614779,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,1653025,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,1693954,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
1667967862,2022-11-08 22:24:22 -0600,70f93394ffa370662e7d52b8ef52310baba3c929,IN-20221108_Eday80,15,General,G,Active Tabulation,Called,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2154689,99,1694256,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,2022-11-09T01:26:46.765Z
