captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,numRunoff,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.21134.first,candidates.21134.last,candidates.21134.party,candidates.21134.incumbent,candidates.21134.candidateID,candidates.21134.polID,candidates.21134.ballotOrder,candidates.21134.polNum,candidates.21134.electWon,candidates.22555.first,candidates.22555.last,candidates.22555.party,candidates.22555.candidateID,candidates.22555.polID,candidates.22555.ballotOrder,candidates.22555.polNum,candidates.22555.electWon,candidates.23070.first,candidates.23070.last,candidates.23070.party,candidates.23070.candidateID,candidates.23070.polID,candidates.23070.ballotOrder,candidates.23070.polNum,candidates.23070.electWon,candidates.21134.winnerDateTime
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,2891629,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,3030238,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,2891629,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,3078994,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,3112876,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,3124876,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,3198557,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,3352688,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,3401397,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,3495613,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
