captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.10826.first,candidates.10826.last,candidates.10826.abbrv,candidates.10826.party,candidates.10826.candidateID,candidates.10826.ballotOrder,candidates.10826.polID,candidates.10826.polNum,candidates.10826.electWon,candidates.10829.first,candidates.10829.last,candidates.10829.party,candidates.10829.candidateID,candidates.10829.ballotOrder,candidates.10829.polID,candidates.10829.polNum,candidates.10829.electWon,candidates.11173.first,candidates.11173.last,candidates.11173.party,candidates.11173.candidateID,candidates.11173.ballotOrder,candidates.11173.polID,candidates.11173.polNum,candidates.11173.electWon,candidates.11174.first,candidates.11174.last,candidates.11174.party,candidates.11174.candidateID,candidates.11174.ballotOrder,candidates.11174.polID,candidates.11174.polNum,candidates.11174.electWon,candidates.10829.winnerDateTime,isCertified
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,969686,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,1309468,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,1403507,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,1599009,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
1667967681,2022-11-08 22:21:21 -0600,21dcb165d821d41661e7c4d6fbcc7bfbb94326bb,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,1804243,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
1667968227,2022-11-08 22:30:27 -0600,b78ec951061d2bf917e09f1eb01cb079af5e3a88,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,1875133,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
1667969160,2022-11-08 22:46:00 -0600,702f27aec8e9117aaf59a55a71ae69d9a7aed7a6,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,1947902,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
1667970723,2022-11-08 23:12:03 -0600,c9be1e43f4fd7fd7004c00409f7a589f170f0784,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,2015312,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
1667972427,2022-11-08 23:40:27 -0600,ae4901446f849f3ab62f6a79323d475c59ad0832,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2305000,99,2019908,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
1667973248,2022-11-08 23:54:08 -0600,fb954f3a0e354e923f1bd778e51927737d2c1332,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2305000,99,2042103,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
