captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.32612.first,candidates.32612.last,candidates.32612.abbrv,candidates.32612.incumbent,candidates.32612.party,candidates.32612.candidateID,candidates.32612.ballotOrder,candidates.32612.polID,candidates.32612.polNum,candidates.32612.electWon,candidates.35464.first,candidates.35464.last,candidates.35464.abbrv,candidates.35464.party,candidates.35464.candidateID,candidates.35464.ballotOrder,candidates.35464.polID,candidates.35464.polNum,candidates.35464.electWon,candidates.32612.winnerDateTime,isCertified
1667978987,2022-11-09 01:29:47 -0600,6fcf7a05ae4e9ea8d79e41c9b355c51adf37e425,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,282468,95,231003,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667979032,2022-11-09 01:30:32 -0600,a31ce2695fce3442cac91f4d2a6adca7af21c91c,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,279211,95,231003,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667979072,2022-11-09 01:31:12 -0600,00d0273ce2273675231b3e46721cb19b13a68da3,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,282468,95,231003,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667983429,2022-11-09 02:43:49 -0600,91ad4bfbba7a9cd52231076db531ea20d83a9660,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,274523,95,231003,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667984442,2022-11-09 03:00:42 -0600,b88c277a236e329327b5836883a7e075e996d2d1,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,274260,95,239417,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667985436,2022-11-09 03:17:16 -0600,3424d47f5341c2a346e8a3799f78a52faeab6c0b,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,274226,95,239417,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1668003944,2022-11-09 08:25:44 -0600,d3e733a1395c696dbdf7a1306bd0d9e58c34e97f,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,274226,95,241567,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1668005682,2022-11-09 08:54:42 -0600,b1f25f267ca6b01ebcb14f957c6812e1ea15723a,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,274226,95,245356,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1668005722,2022-11-09 08:55:22 -0600,61b58fc0ef5156a1597f29be784f5d01076a5303,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,274226,95,241567,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1668005762,2022-11-09 08:56:02 -0600,307ba24af73c27ee28138caea25484bd3ece64e9,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,274226,95,245356,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1668007915,2022-11-09 09:31:55 -0600,66d69f6e59cdec8d3615269e3b8c0caff18823ab,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,274226,95,247926,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1668007958,2022-11-09 09:32:38 -0600,9ee2c56ac32030f31659c088b6cae3bac4d7e870,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,274226,95,245356,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1668007997,2022-11-09 09:33:17 -0600,c31f8323a740c6a07cb9d427e62bf507cddf2040,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,274226,95,247926,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1668012273,2022-11-09 10:44:33 -0600,0e075d2212728f40c55c4a925d34a9f564132a97,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,274226,95,252361,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1668013935,2022-11-09 11:12:15 -0600,f56c264d3a910e38670b199d2156906044004eb9,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,274226,95,254864,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1668014809,2022-11-09 11:26:49 -0600,fffdf43f0b6fc755d70750f983e80a24f6b5fc65,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,274226,95,255764,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1668017331,2022-11-09 12:08:51 -0600,8f60c5aca98d786811482ddf7c356bd606cb8b10,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,274243,95,255764,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1668018214,2022-11-09 12:23:34 -0600,fd6ae1951d23d74d26e35df0f8ed55c3c25ab131,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,274243,95,256408,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
