captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.27492.first,candidates.27492.last,candidates.27492.abbrv,candidates.27492.incumbent,candidates.27492.party,candidates.27492.candidateID,candidates.27492.ballotOrder,candidates.27492.polID,candidates.27492.polNum,candidates.27492.electWon,candidates.29193.first,candidates.29193.last,candidates.29193.party,candidates.29193.candidateID,candidates.29193.ballotOrder,candidates.29193.polID,candidates.29193.polNum,candidates.29193.electWon,candidates.29587.first,candidates.29587.last,candidates.29587.party,candidates.29587.candidateID,candidates.29587.ballotOrder,candidates.29587.polID,candidates.29587.polNum,candidates.29587.electWon,candidates.27492.winnerDateTime,isCertified
1668125577,2022-11-10 18:12:57 -0600,1b8e649a6050073caa0ba0125d27e8b528fe3c96,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4172008,99,3913453,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1668126417,2022-11-10 18:26:57 -0600,1aa517c983a182b94df38f39a3671cd8c4581cc0,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4172008,99,3904225,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1668136911,2022-11-10 21:21:51 -0600,f70a51899704adaf1460164afceed1953eafa520,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4172008,99,3906309,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1668136953,2022-11-10 21:22:33 -0600,aa9b5f080afd4e0bfa509adcf48660f285572d85,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4172008,99,3904225,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1668136995,2022-11-10 21:23:15 -0600,8b399d2ef84944406070d837be37e7ebb759327a,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4172008,99,3906309,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1668172540,2022-11-11 07:15:40 -0600,a3c2ffe781233a490f069b42ddb059d91f486738,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4111904,99,3906309,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1668182604,2022-11-11 10:03:24 -0600,c1d69b77d6aaedf6da323073eb14d271f5e519e1,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4111904,99,3909879,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1668190803,2022-11-11 12:20:03 -0600,576e781e5572d5dab806f64e14fb43cf4f315468,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4111904,99,3907084,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1668195828,2022-11-11 13:43:48 -0600,2002f85695a7cb5a712d7d44805cc4081761a886,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4111904,99,3909622,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1668198434,2022-11-11 14:27:14 -0600,7e65408ecbfaeb83d1b3f4b3c88e14e3a0c523d2,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4111904,99,3912417,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
