captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.53106.first,candidates.53106.middle,candidates.53106.last,candidates.53106.party,candidates.53106.candidateID,candidates.53106.ballotOrder,candidates.53106.polID,candidates.53106.polNum,candidates.53106.electWon,candidates.53170.first,candidates.53170.last,candidates.53170.party,candidates.53170.candidateID,candidates.53170.ballotOrder,candidates.53170.polID,candidates.53170.polNum,candidates.53170.electWon,candidates.53170.winnerDateTime,isCertified
1667977730,2022-11-09 01:08:50 -0600,eb7c135f53880b948a2c1d8d800428a5719cefdc,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,328858,95,320790,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667979231,2022-11-09 01:33:51 -0600,0aac9649608b65a23e9855cf5cacd405130eb626,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,328858,99,320790,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1668008202,2022-11-09 09:36:42 -0600,a2a3f777d5bf91f45fb3fb657ffd78f4c8edc2f0,PA-20221108_Eday80,39,General,G,Active Tabulation,Called,H,U.S. House,True,District 12,12,328858,99,320790,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,2022-11-09T15:22:31.298Z,
1668022974,2022-11-09 13:42:54 -0600,a11dc43a9075d05d62ad127e02a2dc10aa2604c0,PA-20221108_Eday80,39,General,G,Active Tabulation,Called,H,U.S. House,True,District 12,12,327337,99,320790,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,2022-11-09T15:22:31.298Z,
1668041345,2022-11-09 18:49:05 -0600,c4ce9489ac85414e4f0b3ae28b4602360f0556fe,PA-20221108_Eday80,39,General,G,Active Tabulation,Called,H,U.S. House,True,District 12,12,330132,99,320790,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,2022-11-09T15:22:31.298Z,
1668211643,2022-11-11 18:07:23 -0600,1c9c5a729eaae1d0862214245f8c5cfa9443a8b7,PA-20221108_Eday80,39,General,G,Tabulation Paused,Called,H,U.S. House,True,District 12,12,329564,99,320790,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,2022-11-09T15:22:31.298Z,
1668456367,2022-11-14 14:06:07 -0600,c5cf86259dc11e743f83b5526c8388250e1f1678,PA-20221108_Eday80,39,General,G,Tabulation Paused,Called,H,U.S. House,True,District 12,12,329564,99,324153,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,2022-11-09T15:22:31.298Z,
1668462448,2022-11-14 15:47:28 -0600,33760f5a40ed4af0fdd261408f98a95c4733e505,PA-20221108_Eday80,39,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 12,12,329564,99,324153,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,2022-11-09T15:22:31.298Z,
1668631466,2022-11-16 14:44:26 -0600,7361c0195134a5f8458d13929712cc2f988bb9ad,PA-20221108_Eday80,39,General,G,Tabulation Paused until 2022-11-28T19:00:00.000Z,Called,H,U.S. House,True,District 12,12,327427,99,324153,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,2022-11-09T15:22:31.298Z,
1668790777,2022-11-18 10:59:37 -0600,c23d8117ea5f42e990b6f99d56bfe13e481acc89,PA-20221108_Eday80,39,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 12,12,327427,99,324346,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,2022-11-09T15:22:31.298Z,
1669392497,2022-11-25 10:08:17 -0600,11cf07ea3c7bd0128834906ad14c070111af6e24,PA-20221108_Eday80,39,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 12,12,327427,99,328520,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,2022-11-09T15:22:31.298Z,False
1669406524,2022-11-25 14:02:04 -0600,663d5a3bf45c96f8ac225035e47cb819466623e7,PA-20221108_Eday80,39,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 12,12,331643,99,328520,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,2022-11-09T15:22:31.298Z,False
