captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.18860.first,candidates.18860.last,candidates.18860.incumbent,candidates.18860.party,candidates.18860.candidateID,candidates.18860.ballotOrder,candidates.18860.polID,candidates.18860.polNum,candidates.18860.electWon,candidates.19546.first,candidates.19546.last,candidates.19546.party,candidates.19546.candidateID,candidates.19546.ballotOrder,candidates.19546.polID,candidates.19546.polNum,candidates.19546.electWon,candidates.19732.first,candidates.19732.last,candidates.19732.party,candidates.19732.candidateID,candidates.19732.ballotOrder,candidates.19732.polID,candidates.19732.polNum,candidates.19732.electWon,candidates.19733.first,candidates.19733.last,candidates.19733.party,candidates.19733.candidateID,candidates.19733.ballotOrder,candidates.19733.polID,candidates.19733.polNum,candidates.19733.electWon,candidates.19822.first,candidates.19822.last,candidates.19822.party,candidates.19822.candidateID,candidates.19822.ballotOrder,candidates.19822.polID,candidates.19822.polNum,candidates.19822.electWon,candidates.18860.winnerDateTime,isCertified
1667979765,2022-11-09 01:42:45 -0600,e20d3d18de2024c6ec748d544de216fd0e889070,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,433205,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667980717,2022-11-09 01:58:37 -0600,979cc4970243f257438e38dd6dfd832de95ae652,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,440674,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667981404,2022-11-09 02:10:04 -0600,e09740c31d10d15245b40b33933c939d855e3457,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,441697,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667981443,2022-11-09 02:10:43 -0600,7cffe27ed1e74c6f72f6bbb8eb945d7366a075bf,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,440674,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667981483,2022-11-09 02:11:23 -0600,71b7e139fa561afc8a43f66a3db53706a14f3cc6,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,441697,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667982199,2022-11-09 02:23:19 -0600,0f8260b25929c4b69b3b9d7f2f5fb7ed3444679e,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,462695,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667983389,2022-11-09 02:43:09 -0600,1ddd3dfbd0a60636dc0989de2dbe39844110e2a9,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,464716,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667983429,2022-11-09 02:43:49 -0600,91ad4bfbba7a9cd52231076db531ea20d83a9660,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,462695,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667983881,2022-11-09 02:51:21 -0600,fb0bb63c0a2351355e92809d5d7b41d52a28918d,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,464716,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667983921,2022-11-09 02:52:01 -0600,e28a6eb225402fb173e795ae259b4d56ced3a40a,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,462695,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
