captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22964.first,candidates.22964.last,candidates.22964.party,candidates.22964.candidateID,candidates.22964.polID,candidates.22964.ballotOrder,candidates.22964.polNum,candidates.22964.electWon,candidates.22967.first,candidates.22967.last,candidates.22967.party,candidates.22967.incumbent,candidates.22967.candidateID,candidates.22967.polID,candidates.22967.ballotOrder,candidates.22967.polNum,candidates.22967.electWon,candidates.22967.winnerDateTime,isCertified
1668133842,2022-11-10 20:30:42 -0600,9b68cdcc1aa17dc04b137717f9dfac493a72f574,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,108492,99,42682,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1668136401,2022-11-10 21:13:21 -0600,34af08f77b8f33a588bffdf5f80c8b6be999bfbe,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,106980,99,42682,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1668137973,2022-11-10 21:39:33 -0600,d51ce74ae467c33e465dea9bdc0b5df82560bc80,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,106980,99,44782,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1668173949,2022-11-11 07:39:09 -0600,55f98154acfd293831f9547eb462796d5cc2675b,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,106980,99,45821,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1668203182,2022-11-11 15:46:22 -0600,e806adf4007819dcb3d79b262cd18940d1cc2acf,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,106980,99,56476,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1668221081,2022-11-11 20:44:41 -0600,65c99c1b5028ce902d551542c68b5ebe9c06d7ed,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,105866,99,56476,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1668221123,2022-11-11 20:45:23 -0600,23412420e03fd2c0b57aa9fce429ab21f81d6f66,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,106980,99,56476,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1668221165,2022-11-11 20:46:05 -0600,bdedb5c126dea8b06c6867e2a3c3b6d854f54ba5,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,105866,99,56476,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1668547824,2022-11-15 15:30:24 -0600,ba8883e1244d11acdccb1b4f53978d23d51716e4,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,105866,99,57528,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1668567063,2022-11-15 20:51:03 -0600,5f79d32ff680d0738a52a4cad264fd0a27c79c91,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,105866,99,67562,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1668648712,2022-11-16 19:31:52 -0600,2f15427ec3b608e3ecefe5b01ef54f1b8020f35a,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,105866,99,71309,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1668734867,2022-11-17 19:27:47 -0600,ed7dbe8a365f14eb4917aadad9594e2334fd23bf,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,98252,99,71309,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1668742246,2022-11-17 21:30:46 -0600,ddc1a42af896e5bff63561a4e42f6d3e753a05a7,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,98252,99,73641,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1668817096,2022-11-18 18:18:16 -0600,061b86eeb83f1652ab1bca25c5742c4536dab658,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,97758,99,75813,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1668818404,2022-11-18 18:40:04 -0600,9eb202ef77b7125386f938154a44f85cf59f7de5,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,98877,99,85177,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1669075609,2022-11-21 18:06:49 -0600,908c916297cbc26cad13a672521098154cdc8237,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,98877,99,100196,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1669081486,2022-11-21 19:44:46 -0600,d1a31a13a3e756f27cb2149256ad7a326f4ad675,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,102120,99,100196,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1669085286,2022-11-21 20:48:06 -0600,a11d2639a2d904a6604224eb8152e0f10b443309,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 22,22,102120,99,100303,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,2022-11-22T02:47:37.405Z,
1669174338,2022-11-22 21:32:18 -0600,67d6dcd19904a6336da0fc98ab8c60ad13b20447,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 22,22,102120,99,100303,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,2022-11-22T02:47:37.405Z,False
1669209410,2022-11-23 07:16:50 -0600,914d3c4ccc8d833e749502cdce2f0cbc06f4d9ff,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 22,22,102120,99,100568,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,2022-11-22T02:47:37.405Z,False
1669230828,2022-11-23 13:13:48 -0600,57004200fc5b0c730578b58efbba51bb3e8d4f76,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 22,22,102120,99,100774,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,2022-11-22T02:47:37.405Z,False
1669671104,2022-11-28 15:31:44 -0600,a30410064d7ee2629ddebf69528f303f1d5bcd60,CA-20221108_Eday80,5,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 22,22,102120,99,100857,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,2022-11-22T02:47:37.405Z,False
1669692686,2022-11-28 21:31:26 -0600,3061da510fc511eb868cfa04783e510750b02f1c,CA-20221108_Eday80,5,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 22,22,102120,99,100877,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,2022-11-22T02:47:37.405Z,False
1669779083,2022-11-29 21:31:23 -0600,48bc859a3ac6fd84a96b1f17202416c33c85cdae,CA-20221108_Eday80,5,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 22,22,102120,99,100912,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,2022-11-22T02:47:37.405Z,False
1669856881,2022-11-30 19:08:01 -0600,38682c553532b20d2414e6e983502ed937c8612b,CA-20221108_Eday80,5,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 22,22,102120,99,101668,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,2022-11-22T02:47:37.405Z,False
1670249914,2022-12-05 08:18:34 -0600,ff52339dc665c5ccb99e34fcf6cd164acf824370,CA-20221108_Eday80,5,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 22,22,102120,99,102571,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,2022-11-22T02:47:37.405Z,False
1670257750,2022-12-05 10:29:10 -0600,b75f7555851255ace3de7919f172ab8bbbf48756,CA-20221108_Eday80,5,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 22,22,103359,99,102571,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,2022-11-22T02:47:37.405Z,False
1670593688,2022-12-09 07:48:08 -0600,42333ffa3f7f50f162ade3fc12ba6d64637295f9,CA-20221108_Eday80,5,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 22,22,103359,99,102852,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,,David,Valadao,GOP,True,22967,62229,1,11468,,2022-11-22T02:47:37.405Z,False
1671401109,2022-12-18 16:05:09 -0600,fa7ee30ea487e8df28bb2248399d87049bd3dc55,CA-20221108_Eday80,5,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 22,22,102852,100,102852,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,,David,Valadao,GOP,True,22967,62229,1,11468,,2022-11-22T02:47:37.405Z,False
1671553605,2022-12-20 10:26:45 -0600,b1090f40b022881feb073433c628f5214362bbd2,CA-20221108_Eday80,5,General,G,Vote Certified,Called,H,U.S. House,True,District 22,22,102856,100,102856,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,,David,Valadao,GOP,True,22967,62229,1,11468,,2022-11-22T02:47:37.405Z,True
