captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.23466.first,candidates.23466.last,candidates.23466.party,candidates.23466.candidateID,candidates.23466.ballotOrder,candidates.23466.polID,candidates.23466.polNum,candidates.23466.electWon,candidates.23467.first,candidates.23467.last,candidates.23467.incumbent,candidates.23467.party,candidates.23467.candidateID,candidates.23467.ballotOrder,candidates.23467.polID,candidates.23467.polNum,candidates.23467.electWon,candidates.23467.winnerDateTime,isCertified
1667982876,2022-11-09 02:34:36 -0600,f1dcf8490c2a8ff76c7720ff88b0d3bca82564fc,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4834770,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667982914,2022-11-09 02:35:14 -0600,a346c9adf75cdfebf273478b219b645c9d48289e,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4844469,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667983881,2022-11-09 02:51:21 -0600,fb0bb63c0a2351355e92809d5d7b41d52a28918d,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,5075213,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667984807,2022-11-09 03:06:47 -0600,5153412fed905c9aa9ebe6edf631d1fa90c2b102,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,5075672,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667985134,2022-11-09 03:12:14 -0600,2c897b0fc200e1893488b5752c5c41a90d4a2217,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,5078773,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667985174,2022-11-09 03:12:54 -0600,68416a7a90f736185bed11a2c7b588ad616a4f90,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,5075672,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667985591,2022-11-09 03:19:51 -0600,483b045d8eb45553d1fc158eaa878605708e5845,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,5144039,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667985822,2022-11-09 03:23:42 -0600,fe208075ec8f2013e218507464df245c10479ee1,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,5153369,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667986431,2022-11-09 03:33:51 -0600,571b6e116a19aa53d8fa13ce1c809bdc2f746683,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,5220309,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667987197,2022-11-09 03:46:37 -0600,c6de9a5ef91cb16901f36d62fb2513f293fa8ed2,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,5223321,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667987766,2022-11-09 03:56:06 -0600,0c97af721e07528c29c550b7bce84d073343534b,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,5245591,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667988801,2022-11-09 04:13:21 -0600,4c72a5c0e2471fa350291b6c4da371e39c3bbefa,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,5305915,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
