captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.38902.first,candidates.38902.last,candidates.38902.abbrv,candidates.38902.incumbent,candidates.38902.party,candidates.38902.candidateID,candidates.38902.ballotOrder,candidates.38902.polID,candidates.38902.polNum,candidates.38902.electWon,candidates.39227.first,candidates.39227.last,candidates.39227.abbrv,candidates.39227.party,candidates.39227.candidateID,candidates.39227.ballotOrder,candidates.39227.polID,candidates.39227.polNum,candidates.39227.electWon,candidates.38902.winnerDateTime
1667985683,2022-11-09 03:21:23 -0600,8d6490b73382f2ed58c3fbdb846897b79d79f217,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,225671,98,223068,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667987156,2022-11-09 03:45:56 -0600,b0834d18baef8f9e56b541ac7d7fd923dfd61279,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,225671,98,223080,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667987965,2022-11-09 03:59:25 -0600,4dde3c8f59c3bcf3cff48ec0c0bbba8cecf9614a,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,227296,98,223080,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667988091,2022-11-09 04:01:31 -0600,ad99db3e9080c7ed6200ad727ad2ea36cd855591,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,225671,98,223080,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667988128,2022-11-09 04:02:08 -0600,f8fa13f4892e3059720f56202eb33a9d12022027,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,227296,98,223080,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667996111,2022-11-09 06:15:11 -0600,fa58391b4460cd8a38ae5026370ae99cf8be7d71,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,227296,98,223488,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1668017920,2022-11-09 12:18:40 -0600,b3335bb15e0e6f6208266c54cadb6b6af703e3b7,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,227726,98,223488,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1668018385,2022-11-09 12:26:25 -0600,e75977acf838069a165f5092d6831e3f2384b980,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,227726,98,229472,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1668018425,2022-11-09 12:27:05 -0600,7c3190d5624213e8f00b546a91dcc2673310cec6,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,227726,98,223488,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1668018716,2022-11-09 12:31:56 -0600,4096cf0f4f140e2696a47d7492f925dbcd405abd,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,227726,98,223500,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
