captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.21764.first,candidates.21764.last,candidates.21764.party,candidates.21764.incumbent,candidates.21764.candidateID,candidates.21764.polID,candidates.21764.ballotOrder,candidates.21764.polNum,candidates.21764.electWon,candidates.23267.first,candidates.23267.last,candidates.23267.party,candidates.23267.candidateID,candidates.23267.polID,candidates.23267.ballotOrder,candidates.23267.polNum,candidates.23267.electWon,candidates.23725.first,candidates.23725.last,candidates.23725.party,candidates.23725.candidateID,candidates.23725.polID,candidates.23725.ballotOrder,candidates.23725.polNum,candidates.23725.electWon,candidates.21764.winnerDateTime
1667973292,2022-11-08 23:54:52 -0600,f4e2e76b95b1963799e86b607fe710743960389e,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,350826,99,348147,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1667977327,2022-11-09 01:02:07 -0600,384f6f6bf04bdb7a89e98ac973406bc3b1a77127,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,364772,99,348147,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1667986026,2022-11-09 03:27:06 -0600,e99be915e2896b0e6ab292dfb14f5ee346ab658c,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,350826,99,348147,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1668175598,2022-11-11 08:06:38 -0600,e40571d7ab0ad80b2fa5b258a57b238aad0431de,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,350826,99,348355,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1668184958,2022-11-11 10:42:38 -0600,88b8b093e0e975dfbcc70188261e29b584a8bd9c,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,350826,99,216538,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1668185786,2022-11-11 10:56:26 -0600,309a9b6cfa136aaa1951debbd9f317cd9c259fbe,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,350826,99,348355,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1668443672,2022-11-14 10:34:32 -0600,8840fe007c2289cb5d0b39065214027ed33ca9ed,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 17,17,350826,99,216567,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1668447262,2022-11-14 11:34:22 -0600,fab64ca06178d82c9b967f285b83020c64a45dbc,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 17,17,350826,99,348586,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1668448161,2022-11-14 11:49:21 -0600,c9edb3c3a3e81e9e5735e2bb737afb76a58edec3,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 17,17,350826,99,348596,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
1669048638,2022-11-21 10:37:18 -0600,4a833f55035bdf60244896e2416e3ddba7b39cd2,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 17,17,348649,100,348394,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
