captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.9767.last,candidates.9767.abbrv,candidates.9767.party,candidates.9767.candidateID,candidates.9767.ballotOrder,candidates.9767.polID,candidates.9767.polNum,candidates.9767.electWon,candidates.9768.last,candidates.9768.party,candidates.9768.candidateID,candidates.9768.ballotOrder,candidates.9768.polID,candidates.9768.polNum,candidates.9768.electWon,raceCallStatus,candidates.9768.winnerDateTime,isCertified
1668119970,2022-11-10 16:39:30 -0600,6653463680683f9c7021a6a434ac2bf41735b906,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,1847523,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668125067,2022-11-10 18:04:27 -0600,e820d6d7244409514fab2d932d84db7239fb789d,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,1956025,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668125874,2022-11-10 18:17:54 -0600,60879baf329a7dd5a71b2255087b905479a43c34,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,1957471,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668126667,2022-11-10 18:31:07 -0600,a228a812fde70232de2e96bbb6e30da5f9a51b77,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2015888,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668127507,2022-11-10 18:45:07 -0600,1b42102816f49874e3b0b1243b629fe1e95a0e56,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2021523,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668128300,2022-11-10 18:58:20 -0600,723af1441302adf57f792f00b1770c200484f374,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2032449,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668129097,2022-11-10 19:11:37 -0600,6bb05d8de998cb5bdd50a87158875d424e1ccb84,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2057031,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668129812,2022-11-10 19:23:32 -0600,35aa8cd437e5f56db5f3a95763b16453b88d0541,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2062951,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668129852,2022-11-10 19:24:12 -0600,1b259a8caf68cba4757b4593967833e1bb79c119,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2057031,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668129894,2022-11-10 19:24:54 -0600,2e9fcc3e75f6da15b02935823952975d95e0fb81,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2062951,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
