captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.32035.last,candidates.32035.party,candidates.32035.candidateID,candidates.32035.ballotOrder,candidates.32035.polID,candidates.32035.polNum,candidates.32035.electWon,candidates.32036.last,candidates.32036.party,candidates.32036.candidateID,candidates.32036.ballotOrder,candidates.32036.polID,candidates.32036.polNum,candidates.32036.electWon,raceCallStatus,candidates.32035.winnerDateTime,isCertified
1667972364,2022-11-08 23:39:24 -0600,bfe9cb466aa6b65574c16effa903cd993efd4fe0,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,528412,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667973160,2022-11-08 23:52:40 -0600,a8c30e49fdf2578eef8c8f50f6106d095bb0fc07,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,551258,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,Called,2022-11-09T05:43:04.217Z,
1667974050,2022-11-09 00:07:30 -0600,7abf683084771abb66bcbd62c846b6795b86899c,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,574717,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,Called,2022-11-09T05:43:04.217Z,
1667974313,2022-11-09 00:11:53 -0600,6b3b0bacc6c41a15c188eab11ce932a1d154d208,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,658027,99,585644,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,Called,2022-11-09T05:43:04.217Z,
1667975114,2022-11-09 00:25:14 -0600,7de9a48755736c6c6b0e73777ec236e813c5ce50,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,658027,99,595959,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,Called,2022-11-09T05:43:04.217Z,
1667975941,2022-11-09 00:39:01 -0600,824726c09f3a54d568715997d5b46bff5c7f219d,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,620791,99,606257,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,Called,2022-11-09T05:43:04.217Z,
1667976914,2022-11-09 00:55:14 -0600,5c39d98cea3779ab691e2ae42f4961d1de16c4b9,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,644954,99,607421,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,Called,2022-11-09T05:43:04.217Z,
1667977730,2022-11-09 01:08:50 -0600,eb7c135f53880b948a2c1d8d800428a5719cefdc,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,644954,99,608535,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,Called,2022-11-09T05:43:04.217Z,
1667978542,2022-11-09 01:22:22 -0600,643a62c46ea55cf4fad03f9b86a6bd47ba933cb2,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,644954,99,610953,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,Called,2022-11-09T05:43:04.217Z,
1667979392,2022-11-09 01:36:32 -0600,2a9713d989c4e8842dc1ac9158bf609fb05242be,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,644954,99,615604,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,Called,2022-11-09T05:43:04.217Z,
