captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.38016.last,candidates.38016.party,candidates.38016.candidateID,candidates.38016.ballotOrder,candidates.38016.polID,candidates.38016.polNum,candidates.38016.electWon,candidates.38017.last,candidates.38017.party,candidates.38017.candidateID,candidates.38017.ballotOrder,candidates.38017.polID,candidates.38017.polNum,candidates.38017.electWon,raceCallStatus,candidates.38016.winnerDateTime
1667973555,2022-11-08 23:59:15 -0600,574ef20eb007a0ff55ecd54e4003b61f517e06b5,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,2292779,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667973692,2022-11-09 00:01:32 -0600,ace2173236427104569b3ce7a51ec8e19284acf6,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,2398923,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667973737,2022-11-09 00:02:17 -0600,f7940d04f83247dd0cbf585d2d4f25b8c66e477d,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,2292779,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667973793,2022-11-09 00:03:13 -0600,471324a7f30a6780d5e1d2eb6bf6c21c79776e91,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,2398923,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,2821316,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667975402,2022-11-09 00:30:02 -0600,1cb740bfe02888499fbb239b5454758b24512913,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,2902680,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667976265,2022-11-09 00:44:25 -0600,f24bbc37a7ca703e419e133d048b4da5b1f386e7,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,2927058,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667976914,2022-11-09 00:55:14 -0600,5c39d98cea3779ab691e2ae42f4961d1de16c4b9,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,2967518,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667976954,2022-11-09 00:55:54 -0600,b26423d65e9f21df9fee7b50d1d50f05b43eb8df,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,2927058,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667976996,2022-11-09 00:56:36 -0600,c42ff185ff10da6e900ee98d629248349a3fcfdc,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,2967518,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667977690,2022-11-09 01:08:10 -0600,c2d57f962724e5d811f2a0173268728cbb4962f4,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3133077,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667978421,2022-11-09 01:20:21 -0600,fd4cba60c8af2db3bbc95876878bf1114019d874,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3164819,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667978987,2022-11-09 01:29:47 -0600,6fcf7a05ae4e9ea8d79e41c9b355c51adf37e425,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3183298,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667979807,2022-11-09 01:43:27 -0600,fda1599d5dbdfbd32e28d16eb4a1fc9dc29895a1,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3284323,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667980673,2022-11-09 01:57:53 -0600,8a7dca48f9ace0440c702512ea351f0c51b77c4d,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3304565,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
