captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.52392.first,candidates.52392.last,candidates.52392.incumbent,candidates.52392.party,candidates.52392.candidateID,candidates.52392.ballotOrder,candidates.52392.polID,candidates.52392.polNum,candidates.52392.electWon,candidates.53981.first,candidates.53981.last,candidates.53981.party,candidates.53981.candidateID,candidates.53981.ballotOrder,candidates.53981.polID,candidates.53981.polNum,candidates.53981.electWon,candidates.54247.first,candidates.54247.last,candidates.54247.party,candidates.54247.candidateID,candidates.54247.ballotOrder,candidates.54247.polID,candidates.54247.polNum,candidates.54247.electWon,candidates.54248.first,candidates.54248.last,candidates.54248.party,candidates.54248.candidateID,candidates.54248.ballotOrder,candidates.54248.polID,candidates.54248.polNum,candidates.54248.electWon,candidates.54249.first,candidates.54249.last,candidates.54249.party,candidates.54249.candidateID,candidates.54249.ballotOrder,candidates.54249.polID,candidates.54249.polNum,candidates.54249.electWon,candidates.52392.winnerDateTime
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,305735,99,172891,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,2022-11-09T02:47:10.304Z
1667967681,2022-11-08 22:21:21 -0600,21dcb165d821d41661e7c4d6fbcc7bfbb94326bb,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,305735,99,180810,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,2022-11-09T02:47:10.304Z
1667968538,2022-11-08 22:35:38 -0600,921a14073c0a588fcddcb6fa0c38955a3a5e6401,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,305735,99,250344,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,2022-11-09T02:47:10.304Z
1667969419,2022-11-08 22:50:19 -0600,01bf108661ea741dad657f108c5a84b69d73a32c,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,303249,99,255017,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,2022-11-09T02:47:10.304Z
1667970373,2022-11-08 23:06:13 -0600,3ea973c74a9585b2e944f9dd59e390b2b951b2cd,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,303249,99,255602,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,2022-11-09T02:47:10.304Z
1667971213,2022-11-08 23:20:13 -0600,5f24f417653bba3396590267801436b107c31ac9,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,303249,99,256086,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,2022-11-09T02:47:10.304Z
1667971258,2022-11-08 23:20:58 -0600,66df93c53186cc5d338c8a4f0b94d8e859c4ec59,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,303249,99,256408,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,2022-11-09T02:47:10.304Z
1667971304,2022-11-08 23:21:44 -0600,1425fca56a9abad3e92162e44d8c52f320121f3e,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,303249,99,256086,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,2022-11-09T02:47:10.304Z
1667971482,2022-11-08 23:24:42 -0600,23c628a73988ac759f27061cca400c61ae3577c8,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,303249,99,256408,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,2022-11-09T02:47:10.304Z
1667971525,2022-11-08 23:25:25 -0600,8a3d225df35b90ad7577e78c738af67af6cd9c8b,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,303249,99,256086,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,2022-11-09T02:47:10.304Z
