captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.22632.first,candidates.22632.last,candidates.22632.abbrv,candidates.22632.party,candidates.22632.candidateID,candidates.22632.polID,candidates.22632.ballotOrder,candidates.22632.polNum,candidates.22632.electWon,candidates.22638.first,candidates.22638.last,candidates.22638.abbrv,candidates.22638.party,candidates.22638.candidateID,candidates.22638.polID,candidates.22638.ballotOrder,candidates.22638.polNum,candidates.22638.electWon,candidates.22638.winnerDateTime
1667970027,2022-11-08 23:00:27 -0600,0d3c5c12e1d5e510cd8a9d7ec7188e7376d3702a,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,355541,99,296849,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1667970071,2022-11-08 23:01:11 -0600,dbae837cbbaf1f3aaf9390e6aaa3521af778ad97,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,355541,99,299369,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1667971032,2022-11-08 23:17:12 -0600,84fafb476f7846131500489058ff24997434ed54,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,355541,99,304171,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1667971839,2022-11-08 23:30:39 -0600,3cda52854e51a6576b7495d3201be6e474dda96c,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,355541,99,316551,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1667972634,2022-11-08 23:43:54 -0600,3031aa1b4c4f867ee3a729dc96e8d9a1d63eee32,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,320428,99,316551,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1667974809,2022-11-09 00:20:09 -0600,21e89b68838446570e2788596a6ed47ed4d95a07,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,320428,99,318934,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1667976467,2022-11-09 00:47:47 -0600,32bb8c730464b2ab549dbe977eea353741198772,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,320428,99,318956,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1667976507,2022-11-09 00:48:27 -0600,209b6e99763633b1f7b84bb7726e9e7d3ee0aee1,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,320428,99,318934,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1667976548,2022-11-09 00:49:08 -0600,6a83da7820809fa5eca34d5b2e493e02ed29f8e1,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,320428,99,318956,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1667979151,2022-11-09 01:32:31 -0600,23ce0f4830a99133cc9910a2938647202fdaf642,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,322857,99,318956,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
