captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22542.first,candidates.22542.last,candidates.22542.incumbent,candidates.22542.party,candidates.22542.candidateID,candidates.22542.ballotOrder,candidates.22542.polID,candidates.22542.polNum,candidates.22542.electWon,candidates.23189.first,candidates.23189.last,candidates.23189.party,candidates.23189.candidateID,candidates.23189.ballotOrder,candidates.23189.polID,candidates.23189.polNum,candidates.23189.electWon,candidates.23720.first,candidates.23720.last,candidates.23720.party,candidates.23720.candidateID,candidates.23720.ballotOrder,candidates.23720.polID,candidates.23720.polNum,candidates.23720.electWon,candidates.22542.winnerDateTime
1668101879,2022-11-10 11:37:59 -0600,ae58e25508d837a020671a32061946098d7d3ed7,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 3,3,287534,99,284660,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1668125278,2022-11-10 18:07:58 -0600,7e47315b7fb5346371ecbb9e633260aa725190f4,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,287534,99,284660,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1668125662,2022-11-10 18:14:22 -0600,aa218580f76ed13dc3a78862a685fe829d8de493,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,287534,99,284734,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1668125704,2022-11-10 18:15:04 -0600,4876a684bf105e9792ea3c480cd812c4e178a953,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,287534,99,284660,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1668125789,2022-11-10 18:16:29 -0600,a8a65adde498e82c7fba7f7f741c2e25c07fb23c,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,287534,99,284734,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1668367058,2022-11-13 13:17:38 -0600,ffd8b8d20a29cc79535c32f773ee65952610d250,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 3,3,287534,99,284734,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1668443672,2022-11-14 10:34:32 -0600,8840fe007c2289cb5d0b39065214027ed33ca9ed,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 3,3,287534,99,183695,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1668445098,2022-11-14 10:58:18 -0600,cdafca493962088e5f49e97fa0dc5efccc628f91,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 3,3,287534,99,284805,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1668447262,2022-11-14 11:34:22 -0600,fab64ca06178d82c9b967f285b83020c64a45dbc,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 3,3,287534,99,284830,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1668457460,2022-11-14 14:24:20 -0600,757907358d0d0a48569e06c5efaf0744c532f53c,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 3,3,287534,99,284843,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1669048619,2022-11-21 10:36:59 -0600,82a68b3225eb841d7f077eee27497fb2282cee4d,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 3,3,284893,100,284842,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
