captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.56902.first,candidates.56902.last,candidates.56902.party,candidates.56902.incumbent,candidates.56902.candidateID,candidates.56902.polID,candidates.56902.ballotOrder,candidates.56902.polNum,candidates.56902.electWon,candidates.62945.first,candidates.62945.last,candidates.62945.party,candidates.62945.candidateID,candidates.62945.polID,candidates.62945.ballotOrder,candidates.62945.polNum,candidates.62945.electWon,candidates.56902.winnerDateTime
1667987322,2022-11-09 03:48:42 -0600,c4941bd0c330c6a68f39d6af84344c6410041a01,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,262476,99,212328,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667994074,2022-11-09 05:41:14 -0600,a4c43da0969a01ba96414112083180ea9f927cc7,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,253271,99,212328,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667996558,2022-11-09 06:22:38 -0600,6ed410a7a425f22f9d63a92f2659d3edeff4d1d6,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,226071,99,212328,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667996638,2022-11-09 06:23:58 -0600,86eab173e10119c32e3765793aa23aaf23c22c60,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,253271,99,212328,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667996677,2022-11-09 06:24:37 -0600,0439f76b60052e25de2ce950ead063a51f660e9d,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,226071,99,212328,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1668030583,2022-11-09 15:49:43 -0600,86fa1b609ff22a14d342b5fe92ddfff67ac6b790,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,226071,99,217703,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1668144895,2022-11-10 23:34:55 -0600,9fe81e957f9ac3be867bcf2997e98f491c31be56,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,220931,99,217703,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1668144937,2022-11-10 23:35:37 -0600,5e9adabeef1a877df06fab84690acea82cdbb08d,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,226071,99,217703,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1668145023,2022-11-10 23:37:03 -0600,02cf4bc4da6da78a10e21617cc621e305a446ceb,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,220931,99,217703,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1668447680,2022-11-14 11:41:20 -0600,83a00e7bf85109e48d2caf0719c6348e99cf5c40,TX-20221108_Eday80,44,General,G,Tabulation Paused,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,220931,99,217703,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
