captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.30400.first,candidates.30400.last,candidates.30400.party,candidates.30400.incumbent,candidates.30400.candidateID,candidates.30400.polID,candidates.30400.ballotOrder,candidates.30400.polNum,candidates.30400.electWon,candidates.32200.first,candidates.32200.last,candidates.32200.party,candidates.32200.candidateID,candidates.32200.polID,candidates.32200.ballotOrder,candidates.32200.polNum,candidates.32200.electWon,candidates.32708.first,candidates.32708.last,candidates.32708.party,candidates.32708.candidateID,candidates.32708.polID,candidates.32708.ballotOrder,candidates.32708.polNum,candidates.32708.electWon,candidates.30400.winnerDateTime,isCertified
1668267857,2022-11-12 09:44:17 -0600,46d3976eecd380772fbae00cc3a9d0ee3483f5bc,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,211764,99,208104,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1668308438,2022-11-12 21:00:38 -0600,133acf778884a827795b03e88338bbd414e6e364,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,211764,99,218080,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1668475583,2022-11-14 19:26:23 -0600,a38daede0c2da3fd36c61ac67029269b986bfc3c,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,237044,99,218080,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1668476767,2022-11-14 19:46:07 -0600,a9b3651ffd3dc7e71bf93e8bf1d5791d4fa44d4c,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,237044,99,226192,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1668563247,2022-11-15 19:47:27 -0600,e5f384979bf052720577c5a2051ceb9365c7296d,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,237044,99,228504,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1668650666,2022-11-16 20:04:26 -0600,343da4a20f741a18f0399da1e4316e4d3e8f324f,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,237044,99,228504,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1668654915,2022-11-16 21:15:15 -0600,3ba557d39294dd229f32264447c46a64c5e86b55,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,237535,99,235158,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1668717982,2022-11-17 14:46:22 -0600,4fb69625eb540d6618d9c560e30475ce9287c368,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,237535,99,238065,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1668736992,2022-11-17 20:03:12 -0600,1d6d1350bd95c05637686d89047c78bf1daaaff1,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,258767,99,238065,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1668816975,2022-11-18 18:16:15 -0600,9b213b1b38a79b392042cdf54a89632925e7f55f,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,247986,99,238065,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1668880986,2022-11-19 12:03:06 -0600,ffc021ec25b5ee42d3e51fecc7f301ee0ddea07b,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,247985,99,238065,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1668974946,2022-11-20 14:09:06 -0600,3940d31ecbb6db5addcc2a442ef90b7691e471ce,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,247985,99,243771,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1669081710,2022-11-21 19:48:30 -0600,0534677f38dc044a76637982585bdaf181ee4bc7,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,251311,99,249563,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1669084948,2022-11-21 20:42:28 -0600,caabdb51690981cf1fb8e01f9e699030ea2b0e11,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,252085,99,249563,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1669135106,2022-11-22 10:38:26 -0600,ac556bf6806cf7b38d0abdf7bc90eeb98de7796f,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,252084,99,249563,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1669169313,2022-11-22 20:08:33 -0600,d01753072cd0a0b985b198cca6c8f0fed1373690,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,254656,99,254326,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,False
1669244727,2022-11-23 17:05:27 -0600,53ca320755fe9ddfe767832fa0473d7c5bae8fd2,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,256895,99,254326,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,False
1669245649,2022-11-23 17:20:49 -0600,6b6c6616099ad7abc499e235f03ecd48911f4289,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,259516,99,257716,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,False
1669517186,2022-11-26 20:46:26 -0600,98c90e5a985f3bf926b06c9f47b3b083b9bf6f07,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,259516,99,261219,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,False
1669587509,2022-11-27 16:18:29 -0600,88e444b70f1f7592236b137a6c0c1448f80ae8be,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,259516,99,263931,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,False
1669648385,2022-11-28 09:13:05 -0600,ae2b6cab4320bddcb50f1d6b42c50841b8ecf267,MD-20221108_Eday80,21,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 8,8,266597,99,263931,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,False
